TeamID,ID,Name,Email,Game,Skill,Role,Score,Type
1,P076,Participant_76,user76@university.edu,FIFA,7,STRATEGIST,91,LEADER
1,P003,Participant_3,user3@university.edu,FIFA,4,DEFENDER,66,THINKER
1,P029,Participant_29,user29@university.edu,BASKETBALL,5,SUPPORTER,77,BALANCED
1,P062,Participant_62,user62@university.edu,BASKETBALL,6,ATTACKER,85,BALANCED
1,P098,Participant_98,user98@university.edu,CSGO,5,DEFENDER,83,BALANCED
2,P100,Participant_100,user100@university.edu,CSGO,7,COORDINATOR,97,LEADER
2,P030,Participant_30,user30@university.edu,CSGO,4,COORDINATOR,54,THINKER
2,P050,Participant_50,user50@university.edu,BASKETBALL,5,COORDINATOR,70,BALANCED
2,P044,Participant_44,user44@university.edu,FIFA,6,SUPPORTER,71,BALANCED
2,P041,Participant_41,user41@university.edu,BASKETBALL,5,STRATEGIST,70,BALANCED
3,P055,Participant_55,user55@university.edu,CHESS,8,COORDINATOR,90,LEADER
3,P051,Participant_51,user51@university.edu,FIFA,2,STRATEGIST,57,THINKER
3,P089,Participant_89,user89@university.edu,CHESS,6,SUPPORTER,75,BALANCED
3,P002,Participant_2,user2@university.edu,FIFA,5,ATTACKER,80,BALANCED
3,P053,Participant_53,user53@university.edu,DOTA2,7,DEFENDER,71,BALANCED
4,P043,Participant_43,user43@university.edu,DOTA2,2,DEFENDER,100,LEADER
4,P042,Participant_42,user42@university.edu,DOTA2,7,ATTACKER,53,THINKER
4,P092,Participant_92,user92@university.edu,BASKETBALL,7,ATTACKER,70,BALANCED
4,P101,ABC,AB@AB.com,FIFA,7,ATTACKER,84,BALANCED
4,P056,Participant_56,user56@university.edu,BASKETBALL,4,STRATEGIST,86,BALANCED
5,P052,Participant_52,user52@university.edu,FIFA,2,ATTACKER,99,LEADER
5,P012,Participant_12,user12@university.edu,DOTA2,3,ATTACKER,63,THINKER
5,P017,Participant_17,user17@university.edu,CSGO,10,ATTACKER,77,BALANCED
5,P065,Participant_65,user65@university.edu,DOTA2,7,COORDINATOR,77,BALANCED
5,P023,Participant_23,user23@university.edu,CSGO,3,DEFENDER,87,BALANCED
6,P028,Participant_28,user28@university.edu,CSGO,8,DEFENDER,90,LEADER
6,P069,Participant_69,user69@university.edu,CSGO,5,SUPPORTER,68,THINKER
6,P014,Participant_14,user14@university.edu,FIFA,3,SUPPORTER,73,BALANCED
6,P059,Participant_59,user59@university.edu,DOTA2,4,SUPPORTER,79,BALANCED
6,P035,Participant_35,user35@university.edu,BASKETBALL,8,COORDINATOR,78,BALANCED
7,P061,Participant_61,user61@university.edu,CSGO,7,STRATEGIST,98,LEADER
7,P096,Participant_96,user96@university.edu,DOTA2,8,STRATEGIST,56,THINKER
7,P038,Participant_38,user38@university.edu,VALORANT,1,DEFENDER,78,BALANCED
7,P011,Participant_11,user11@university.edu,BASKETBALL,8,STRATEGIST,84,BALANCED
7,P074,Participant_74,user74@university.edu,FIFA,3,SUPPORTER,82,BALANCED
8,P016,Participant_16,user16@university.edu,CSGO,6,STRATEGIST,90,LEADER
8,P033,Participant_33,user33@university.edu,FIFA,7,DEFENDER,65,THINKER
8,P020,Participant_20,user20@university.edu,VALORANT,3,COORDINATOR,82,BALANCED
8,P026,Participant_26,user26@university.edu,CHESS,8,STRATEGIST,74,BALANCED
8,P095,Participant_95,user95@university.edu,CSGO,2,COORDINATOR,84,BALANCED
9,P046,Participant_46,user46@university.edu,CSGO,5,STRATEGIST,96,LEADER
9,P039,Participant_39,user39@university.edu,FIFA,5,SUPPORTER,66,THINKER
9,P071,Participant_71,user71@university.edu,CHESS,8,STRATEGIST,70,BALANCED
9,P077,Participant_77,user77@university.edu,FIFA,2,ATTACKER,89,BALANCED
9,P005,Participant_5,user5@university.edu,CSGO,9,COORDINATOR,82,BALANCED
10,P091,Participant_91,user91@university.edu,FIFA,10,STRATEGIST,98,LEADER
10,P078,Participant_78,user78@university.edu,FIFA,6,DEFENDER,51,THINKER
10,P080,Participant_80,user80@university.edu,BASKETBALL,1,COORDINATOR,82,BALANCED
10,P032,Participant_32,user32@university.edu,DOTA2,2,ATTACKER,86,BALANCED
10,P047,Participant_47,user47@university.edu,DOTA2,10,ATTACKER,78,BALANCED
11,P088,Participant_88,user88@university.edu,FIFA,4,DEFENDER,92,LEADER
11,P072,Participant_72,user72@university.edu,DOTA2,5,ATTACKER,61,THINKER
11,P086,Participant_86,user86@university.edu,FIFA,9,STRATEGIST,89,BALANCED
11,P068,Participant_68,user68@university.edu,CHESS,1,DEFENDER,80,BALANCED
11,P083,Participant_83,user83@university.edu,DOTA2,10,DEFENDER,75,BALANCED
